date,address,count
2018-02,107.13.184.179,2
2018-02,109.102.111.64,1
2018-02,109.102.111.67,1
2018-02,109.102.111.76,1
2018-02,109.102.111.84,1
2018-02,109.171.137.212,1
2018-02,129.177.125.44,1
2018-02,130.136.2.43,1
2018-02,137.204.150.12,1
2018-02,149.139.2.254,5
2018-02,178.175.143.130,3
2018-02,181.221.70.101,1
2018-02,193.140.89.100,1
2018-02,193.175.238.232,2
2018-02,2.42.3.29,4
2018-02,217.182.192.80,1
2018-02,52.164.121.37,1
2018-02,64.54.0.184,1
2018-02,79.148.225.158,1
2018-02,86.58.6.82,1
2018-02,89.234.68.78,1
2018-02,91.233.116.220,1
2018-02,91.77.89.98,1
2018-03,100.35.47.77,2
2018-03,103.209.91.29,2
2018-03,103.27.9.253,1
2018-03,104.236.13.32,1
2018-03,106.120.161.66,2
2018-03,107.175.43.161,1
2018-03,107.178.194.13,1
2018-03,109.102.111.66,4
2018-03,109.102.111.67,3
2018-03,109.102.111.71,8
2018-03,109.102.111.76,5
2018-03,109.102.111.84,2
2018-03,109.102.111.86,2
2018-03,109.102.111.87,4
2018-03,109.102.111.88,5
2018-03,109.102.111.89,4
2018-03,109.102.111.92,4
2018-03,109.213.49.196,1
2018-03,109.86.219.43,1
2018-03,110.175.107.170,3
2018-03,113.57.176.150,1
2018-03,118.140.121.70,1
2018-03,118.219.252.194,1
2018-03,120.188.93.143,1
2018-03,120.204.17.46,1
2018-03,121.28.91.90,3
2018-03,122.144.218.13,1
2018-03,124.17.26.252,1
2018-03,128.235.234.244,2
2018-03,128.41.13.57,1
2018-03,129.177.138.114,1
2018-03,129.186.176.115,1
2018-03,129.83.31.2,2
2018-03,129.88.37.106,1
2018-03,130.209.247.225,1
2018-03,130.229.161.99,1
2018-03,130.235.66.161,2
2018-03,130.237.241.248,1
2018-03,130.237.96.174,2
2018-03,130.37.193.11,6
2018-03,131.96.170.212,1
2018-03,133.130.112.147,1
2018-03,134.155.88.189,2
2018-03,134.155.88.35,1
2018-03,134.158.139.192,1
2018-03,134.158.230.71,1
2018-03,134.184.170.80,2
2018-03,134.206.126.11,1
2018-03,134.7.248.207,1
2018-03,136.206.245.239,1
2018-03,137.108.118.183,1
2018-03,137.204.99.249,1
2018-03,137.44.1.174,2
2018-03,139.124.210.46,1
2018-03,139.162.159.109,1
2018-03,139.17.74.205,1
2018-03,140.112.23.234,1
2018-03,142.150.192.189,3
2018-03,144.204.16.1,1
2018-03,145.108.69.194,1
2018-03,145.35.168.44,1
2018-03,146.50.69.245,1
2018-03,147.147.74.81,1
2018-03,149.255.36.227,1
2018-03,151.61.1.217,7
2018-03,155.69.120.23,1
2018-03,157.49.11.27,1
2018-03,159.203.196.79,1
2018-03,159.65.133.79,1
2018-03,159.65.137.20,1
2018-03,167.88.102.125,1
2018-03,169.228.188.235,1
2018-03,171.13.14.147,1
2018-03,174.233.7.147,1
2018-03,176.12.107.140,1
2018-03,178.130.7.83,3
2018-03,178.62.99.175,1
2018-03,181.177.112.19,1
2018-03,183.198.0.210,1
2018-03,184.161.177.20,1
2018-03,185.29.9.119,3
2018-03,186.176.65.35,1
2018-03,188.165.233.34,1
2018-03,188.234.48.13,1
2018-03,188.66.107.243,1
2018-03,192.99.150.97,1
2018-03,193.175.238.232,2
2018-03,193.194.91.130,1
2018-03,193.219.44.105,1
2018-03,193.49.17.184,1
2018-03,193.49.77.110,1
2018-03,193.51.120.250,1
2018-03,193.52.103.23,1
2018-03,193.54.91.173,1
2018-03,193.55.72.231,2
2018-03,193.55.73.69,1
2018-03,193.62.194.252,1
2018-03,193.63.239.132,1
2018-03,193.87.7.132,4
2018-03,194.170.173.31,1
2018-03,194.214.160.92,1
2018-03,194.94.44.220,1
2018-03,195.169.26.29,1
2018-03,195.201.113.174,1
2018-03,195.221.0.34,1
2018-03,196.200.131.103,1
2018-03,197.1.158.249,2
2018-03,198.11.218.38,1
2018-03,198.204.235.202,1
2018-03,198.27.80.144,1
2018-03,199.90.157.11,1
2018-03,2.101.77.138,1
2018-03,2.126.2.54,1
2018-03,200.136.201.63,1
2018-03,207.182.140.210,1
2018-03,208.87.233.140,1
2018-03,212.44.25.140,1
2018-03,213.71.6.130,2
2018-03,217.182.192.80,5
2018-03,221.148.61.230,2
2018-03,23.227.201.194,1
2018-03,34.196.97.47,1
2018-03,35.205.91.150,1
2018-03,35.225.221.87,1
2018-03,37.49.230.113,1
2018-03,45.64.225.197,1
